Slc1a2	ASC
Aldoc	ASC
Slc1a3	ASC
Slc4a4	ASC
Ndrg2	ASC
Gja1	ASC
Clu	ASC
Mt3	ASC
Mt1	ASC
Plpp3	ASC
Cpe	ASC
Pla2g7	ASC
Sparcl1	ASC
Gstm1	ASC
Atp1a2	ASC
Mfge8	ASC
Ntsr2	ASC
Mt2	ASC
Htra1	ASC
Ttyh1	ASC
Aqp4	ASC
Scg3	ASC
Gstm5	ASC
Glul	ASC
Tspan7	ASC
Acsl3	ASC
Fam107a	ASC
Hopx	ASC
Acsbg1	ASC
S1pr1	ASC
Prdx6	ASC
2900052N01Rik	ASC
Tmem47	ASC
Cxcl14	ASC
Apoe	ASC
Mlc1	ASC
Cldn10	ASC
Slc6a11	ASC
Luzp2	ASC
Fgfr3	ASC
Fads2	ASC
Prxl2a	ASC
Prex2	ASC
Atp1b2	ASC
Paqr8	ASC
Glud1	ASC
Fjx1	ASC
Gjb6	ASC
Acsl6	ASC
Rorb	ASC
Id4	ASC
Sox9	ASC
Ntrk2	ASC
Gpr37l1	ASC
Agt	ASC
Slc7a11	ASC
Slc25a18	ASC
Scd2	ASC
Sfxn5	ASC
F3	ASC
Tubb2b	ASC
Mmd2	ASC
Ahcyl1	ASC
Gpm6b	ASC
Chchd10	ASC
Fabp5	ASC
Slc27a1	ASC
Asrgl1	ASC
Lix1	ASC
Pmm1	ASC
S100b	ASC
Fxyd1	ASC
Prnp	ASC
Nwd1	ASC
Sdc4	ASC
Gm3764	ASC
Slc7a10	ASC
Pantr1	ASC
Lhx2	ASC
Bcan	ASC
Slc39a12	ASC
Myo6	ASC
Tst	ASC
Ntm	ASC
Baalc	ASC
Dtna	ASC
Dclk1	ASC
Appl2	ASC
Msi2	ASC
Mgll	ASC
Tril	ASC
Btbd17	ASC
Grin2c	ASC
Enho	ASC
Gnao1	ASC
Gabrb1	ASC
Ddah1	ASC
Trim9	ASC
Rcn2	ASC
Nnat	ASC
Gpm6a	ASC
Nkain4	ASC
Slc6a1	ASC
2310022B05Rik	ASC
Abhd3	ASC
Hepacam	ASC
Igfbp2	ASC
Dio2	ASC
Gm6145	ASC
Hes5	ASC
Msmo1	ASC
Aldh1l1	ASC
Ckb	ASC
Slc9a3r1	ASC
Pygb	ASC
AW047730	ASC
Timp4	ASC
Scd1	ASC
Phkg1	ASC
Fads1	ASC
Rida	ASC
Metrn	ASC
Dbi	ASC
Fbxo2	ASC
Adk	ASC
Chst2	ASC
Phgdh	ASC
Gapdh	ASC
Abat	ASC
Trpm3	ASC
Etnppl	ASC
Gpc5	ASC
Ptch1	ASC
Cadm1	ASC
Fut9	ASC
Gpam	ASC
Tmem229a	ASC
Arhgap5	ASC
Pon2	ASC
Pbxip1	ASC
Car2	ASC
Myorg	ASC
Fam171b	ASC
Lrrc58	ASC
Gabrg1	ASC
Ramp1	ASC
Ugp2	ASC
Vegfa	ASC
Itih3	ASC
Ldhb	ASC
Dbx2	ASC
Ezr	ASC
Lrig1	ASC
Gldc	ASC
Add3	ASC
Id2	ASC
Plcd4	ASC
Mtss2	ASC
Arhgef26	ASC
Plxnb1	ASC
Fzd2	ASC
Pfkm	ASC
Vcam1	ASC
Kcnj16	ASC
Hmgcs1	ASC
Cbs	ASC
Gfap	ASC
Cmtm5	ASC
Grm3	ASC
Lxn	ASC
Slc15a2	ASC
Spire1	ASC
Nrxn1	ASC
Hlf	ASC
Daam2	ASC
Cyp2j9	ASC
Sash1	ASC
Ddhd1	ASC
Grk3	ASC
Mfap3l	ASC
Ednrb	ASC
Nrcam	ASC
Camk2g	ASC
Phyhipl	ASC
St6galnac5	ASC
Tprkb	ASC
Tlcd1	ASC
Clmn	ASC
Bmpr1b	ASC
Ttyh3	ASC
Scp2	ASC
B930095G15Rik	ASC
Ppp1r3c	ASC
Prodh	ASC
Hist1h2bc	ASC
Aldh7a1	ASC
Fermt2	ASC
Srebf1	ASC
Gprc5b	ASC
Nadk2	ASC
Gpld1	ASC
Atp13a4	ASC
Kcnn2	ASC
Cpeb4	ASC
Nr2f1	ASC
Eva1a	ASC
Agpat3	ASC
S100a1	ASC
Pgm1	ASC
Syne1	ASC
Entpd2	ASC
Trps1	ASC
Sox2	ASC
Kcnj10	ASC
Acaa2	ASC
Cyp4f15	ASC
Phyh	ASC
Mid1ip1	ASC
Utp14b	ASC
Acadl	ASC
Lsamp	ASC
Il18	ASC
Pcdh10	ASC
Ncan	ASC
Lcat	ASC
Csrp1	ASC
Aco2	ASC
Aldh6a1	ASC
Crot	ASC
Mras	ASC
Uqcr10	ASC
Paqr7	ASC
Wwc1	ASC
Hacd2	ASC
Cyp2d22	ASC
Adcyap1r1	ASC
Gm42418	ASC
Rgs20	ASC
Chst1	ASC
Ephx2	ASC
Polr3h	ASC
Fmc1	ASC
Fabp7	ASC
Csdc2	ASC
Nat8f1	ASC
Ndufa12	ASC
Gcsh	ASC
Uqcr11	ASC
Pou3f3	ASC
4930402H24Rik	ASC
Atp5k	ASC
C030005K06Rik	ASC
Macf1	ASC
Cd63	ASC
Bcl2	ASC
Ngef	ASC
Chpt1	ASC
Fgd6	ASC
Eno1	ASC
Oat	ASC
Sesn3	ASC
Lap3	ASC
Npas3	ASC
Sorcs2	ASC
Eps15	ASC
Pea15a	ASC
Atp5o	ASC
Fam184a	ASC
Il33	ASC
Wasf3	ASC
Lars2	ASC
Ctnnd2	ASC
Lgr4	ASC
Lgi4	ASC
Hadhb	ASC
Mpp6	ASC
Farp1	ASC
Gabbr1	ASC
Gria2	ASC
Ank2	ASC
Nfia	ASC
Cadm2	ASC
Slc1a4	ASC
Scrg1	ASC
Mfn1	ASC
Rfx4	ASC
Kcnk1	ASC
Rbp1	ASC
Etfb	ASC
Nim1k	ASC
Sorbs1	ASC
Caskin1	ASC
Grina	ASC
Rasa2	ASC
Ndufs5	ASC
Camk2n1	ASC
Ppargc1a	ASC
Cspg5	ASC
Pou3f2	ASC
Idi1	ASC
Tmod2	ASC
Prelp	ASC
Hapln1	ASC
Cs	ASC
Plaat3	ASC
Rora	ASC
Ndufa13	ASC
Arap2	ASC
Cox8a	ASC
Mapk4	ASC
Thrsp	ASC
Ddt	ASC
Eci1	ASC
Dkk3	ASC
Gna13	ASC
Psd2	ASC
Zbtb20	ASC
Phka1	ASC
Spred1	ASC
Aifm3	ASC
Emx2	ASC
Ndufc1	ASC
Fgfr1	ASC
Nacc2	ASC
1500009C09Rik	ASC
Rgma	ASC
Eps8	ASC
Cox4i1	ASC
Slc41a1	ASC
Prdx1	ASC
Slc7a2	ASC
Soat1	ASC
Mpc1	ASC
Rapgef3	ASC
Nhsl1	ASC
Suclg1	ASC
1190005I06Rik	ASC
Folh1	ASC
Tnik	ASC
Ptn	ASC
Fam181b	ASC
Acss1	ASC
Hacd3	ASC
Fgf1	ASC
Enah	ASC
B3galt2	ASC
Mgst1	ASC
Rftn2	ASC
Cyp51	ASC
Fasn	ASC
Tkt	ASC
Dab1	ASC
Sfxn1	ASC
Agl	ASC
Tsc22d4	ASC
Cnn3	ASC
Acot11	ASC
Slc25a4	ASC
Smpdl3a	ASC
Ptprz1	ASC
Gli3	ASC
Scara3	ASC
Acss2	ASC
Agpat5	ASC
Adhfe1	ASC
Hmgn3	ASC
Nrarp	ASC
Tspan3	ASC
Prdm16os	ASC
Pygm	ASC
Igdcc4	ASC
Vcl	ASC
Klf9	ASC
Gng12	ASC
Atp5mpl	ASC
Maob	ASC
Ppp1r3g	ASC
Fmn2	ASC
Egfr	ASC
Me1	ASC
Cox6c	ASC
Mical2	ASC
Phactr3	ASC
Phlpp1	ASC
Naaa	ASC
4933431E20Rik	ASC
Ivd	ASC
Hmgcr	ASC
Zhx3	ASC
Lmo1	ASC
Fam20a	ASC
Pxmp2	ASC
Rmst	ASC
Ndufb10	ASC
Paqr6	ASC
Papss2	ASC
Mertk	ASC
Emp2	ASC
Cox5a	ASC
Hsd11b1	ASC
Fmnl2	ASC
Ccdc88a	ASC
Slc20a1	ASC
Uqcrfs1	ASC
Dbp	ASC
Acox1	ASC
Idh2	ASC
Gabbr2	ASC
Rnd2	ASC
Kidins220	ASC
Elovl5	ASC
Fdft1	ASC
Ckap5	ASC
Myo10	ASC
Uqcrq	ASC
mt-Nd2	ASC
Pgk1	ASC
Hsdl2	ASC
Gm9925	ASC
Slc30a10	ASC
Tlr3	ASC
Limch1	ASC
Mir100hg	ASC
Cntfr	ASC
Eci2	ASC
Nudt3	ASC
Sox1	ASC
Atp5g3	ASC
Gdpd2	ASC
Tpi1	ASC
Cdh19	ASC
Itgb8	ASC
Ppp2r5a	ASC
Nr1d1	ASC
Shisa4	ASC
Csgalnact1	ASC
Vegfb	ASC
Pax6	ASC
Smdt1	ASC
Mboat2	ASC
Slc13a5	ASC
Ndufb11	ASC
Atp5b	ASC
Cox7b	ASC
Tead1	ASC
Washc2	ASC
Leng8	ASC
Atp5md	ASC
Atp5h	ASC
Ndufc2	ASC
Hibadh	ASC
Gramd3	ASC
Igsf11	ASC
Echs1	ASC
Aldoa	ASC
Hipk2	ASC
Ctso	ASC
Pbx1	ASC
Aldh5a1	ASC
Atp5l	ASC
Trp53bp2	ASC
Calm3	ASC
Ogt	ASC
Mir124-2hg	ASC
Arhgef12	ASC
Fibp	ASC
Ak3	ASC
Chst10	ASC
Cyp7b1	ASC
Pfn2	ASC
Ptar1	ASC
Hdhd2	ASC
Ndufb9	ASC
Kif1b	ASC
Cep85l	ASC
Gpd2	ASC
Tenm3	ASC
Cry2	ASC
Ston2	ASC
St3gal4	ASC
Cables1	ASC
Qk	ASC
Igfbp5	ASC
Sod2	ASC
Spry2	ASC
Atp5a1	ASC
Sc5d	ASC
Cox7c	ASC
Acyp2	ASC
Kcnk2	ASC
Cox5b	ASC
Atp5e	ASC
Oplah	ASC
Tsc22d3	ASC
Zfyve21	ASC
Fndc4	ASC
Klf15	ASC
Mcc	ASC
Atp5j2	ASC
